Southwest East Southeast Yorkshire WestMidlands EastMidlands Northwest London Northeast
Southwest 0 248.536659245 233.684063332 283.394763577 230.654506451 242.03697236 276.810888223 252.985094366 307.843244158
East 248.536659245 0 213.407694603 251.868567426 249.684210172 214.687880751 261.517627166 134.791441443 303.337634207
Southeast 233.684063332 213.407694603 0 297.13695286 239.970081997 249.762884821 295.105186689 205.478470394 333.107956138
Yorkshire 283.394763577 251.868567426 297.13695286 0 269.648871958 227.733135811 190.004630923 268.997010806 223.082610189
WestMidlands 230.654506451 249.684210172 239.970081997 269.648871958 0 232.007657287 262.525816146 266.98150974 296.605875239
EastMidlands 242.03697236 214.687880751 249.762884821 227.733135811 232.007657287 0 229.847087546 226.002187213 273.599476295
Northwest 276.810888223 261.517627166 295.105186689 190.004630923 262.525816146 229.847087546 0 280.108558567 231.322301057
London 252.985094366 134.791441443 205.478470394 268.997010806 266.98150974 226.002187213 280.108558567 0 320.482150912
Northeast 307.843244158 303.337634207 333.107956138 223.082610189 296.605875239 273.599476295 231.322301057 320.482150912 0
