Southwest East Southeast Yorkshire WestMidlands EastMidlands Northwest London Northeast
Southwest 0 16695.7 7432.28 18540.3 17744.0 9125.16 7855.49 9140.09 14019.6
East 16695.7 0 16096.1 14694.3 13473.1 15617.5 15914.5 15324.5 12638.5
Southeast 7432.28 16096.1 0 18042.6 17264.0 8126.84 7224.75 7954.65 13195.1
Yorkshire 18540.3 14694.3 18042.6 0 13478.0 17780.3 18136.1 17648.5 15526.7
WestMidlands 17744.0 13473.1 17264.0 13478.0 0 16850.0 17267.9 16487.9 14554.2
EastMidlands 9125.16 15617.5 8126.84 17780.3 16850.0 0 8570.78 8205.2 12625.6
Northwest 7855.49 15914.5 7224.75 18136.1 17267.9 8570.78 0 8255.38 12768.3
London 9140.09 15324.5 7954.65 17648.5 16487.9 8205.2 8255.38 0 12117.9
Northeast 14019.6 12638.5 13195.1 15526.7 14554.2 12625.6 12768.3 12117.9 0
